"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1009","test_questions[4]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1097","test_questions[0]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1041","test_questions[6]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","192","Переход по логотипу Самоката возвращает на главную","tests","2026-03-24","passed","2026-03-24","TestLogos","test_logos","",""
"","1442","test_questions[7]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1064","test_questions[2]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1076","test_questions[5]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","0","test_order_success[bottom]","tests","2026-03-24","broken","2026-03-24","TestOrder","test_order","",""
"","1039","test_questions[3]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","0","test_order_success[top]","tests","2026-03-24","broken","2026-03-24","TestOrder","test_order","",""
"","1107","test_questions[1]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
