"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_order_success[top]","tests","2026-03-24","broken","2026-03-24","TestOrder","test_order","",""
"","1098","test_questions[2]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1269","test_questions[4]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1062","test_questions[7]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1154","test_questions[0]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","206","Переход по логотипу Самоката возвращает на главную","tests","2026-03-24","passed","2026-03-24","TestLogos","test_logos","",""
"","1426","test_questions[1]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","0","test_order_success[bottom]","tests","2026-03-24","broken","2026-03-24","TestOrder","test_order","",""
"","2178","test_questions[6]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1144","test_questions[3]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
"","1069","test_questions[5]","tests","2026-03-24","passed","2026-03-24","TestQuestions","test_questions","",""
